index,Commune,NPA,Commune d'annonce / District,sat_tickets
0,Penthaz,1303,Penthaz,100.0
0,Penthaz,1303,Penthaz,100.0
0,Penthaz,1303,Penthaz,92.0
1,Penthalaz,1305,Penthalaz,100.0
1,Penthalaz,1305,Penthalaz,91.0
2,Bournens,1035,Bournens,33.0
3,Daillens,1306,Daillens,70.0
4,Sullens,1036,Sullens,38.0
5,Mex VD,1031,Mex (VD),28.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,100.0
6,Cossonay-Ville,1304,Cossonay,73.0
7,Lussery-Villars,1307,Lussery-Villars,13.0
8,Gollion,1124,Gollion,49.0
9,Boussens,1034,Boussens,64.0
10,Aclens,1123,Aclens,15.0
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,100.0
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,100.0
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,100.0
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,100.0
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,20.0
12,Bremblens,1121,Bremblens,15.0
13,Oulens-sous-Echallens,1377,Oulens-sous-Echallens,28.0
14,Crissier,1023,Crissier,81.0
15,La Chaux (Cossonay),1308,La Chaux (Cossonay),7.0
16,Grancy,1117,Grancy,31.0
17,Romanel-sur-Lausanne,1032,Lausanne,60.0
18,Vullierens,1115,Vullierens,10.0
19,Chevilly,1316,Chevilly,9.0
20,Echandens,1026,Echandens,65.0
21,Morrens VD,1054,Morrens (VD),37.0
22,Eclagnens,1376,Goumoëns,21.0
23,Ecublens VD,1024,Ecublens (VD),76.0
24,St-Saphorin-sur-Morges,1113,Echichens,12.0
25,Colombier VD,1114,Echichens,2.0
26,Cottens VD,1116,Hautemorges,7.0
27,Cugy VD,1053,Cugy (VD),84.0
28,Chavannes-près-Renens,1022,Chavannes-près-Renens,40.0
29,Ferreyres,1313,Ferreyres,25.0
32,Monnaz,1125,Echichens,7.0
33,Lausanne,1007,Lausanne,100.0
33,Lausanne,1007,Lausanne,66.0
34,Lausanne,1018,Lausanne,90.0
35,Poliez-le-Grand,1041,Montilliez,100.0
35,Poliez-le-Grand,1041,Montilliez,3.0
36,St-Sulpice VD,1025,Saint-Sulpice (VD),65.0
37,Le Mont-sur-Lausanne,1052,Le Mont-sur-Lausanne,100.0
37,Le Mont-sur-Lausanne,1052,Le Mont-sur-Lausanne,31.0
38,Lausanne,1004,Lausanne,100.0
38,Lausanne,1004,Lausanne,90.0
39,Lausanne,1003,Lausanne,68.0
40,Apples,1143,Hautemorges,100.0
40,Apples,1143,Hautemorges,100.0
40,Apples,1143,Hautemorges,20.0
41,Froideville,1055,Froideville,48.0
42,Lausanne,1006,Lausanne,100.0
42,Lausanne,1006,Lausanne,74.0
43,Lausanne,1010,Lausanne,71.0
44,Lausanne,1012,Lausanne,100.0
44,Lausanne,1012,Lausanne,14.0
45,Epalinges,1066,Epalinges,85.0
46,Lausanne,1005,Lausanne,89.0
47,Echichens,1112,Echichens,23.0
48,Tolochenaz,1131,Tolochenaz,16.0
49,Villars-Ste-Croix,1029,Villars-Sainte-Croix,31.0
50,Corcelles-sur-Chavornay,1374,Chavornay,7.0
52,Lully VD,1132,Lully (VD),6.0
53,Les Monts-de-Pully,1068,Pully,2.0
54,Peyres-Possens,1063,Montanaire,12.0
55,Lussy-sur-Morges,1167,Lussy-sur-Morges,9.0
56,Villars-Tiercelin,1058,Jorat-Menthue,6.0
57,Villars-Mendraz,1061,Jorat-Menthue,2.0
59,Mollens VD,1146,Mollens (VD),4.0
60,La Croix (Lutry),1090,Lutry,7.0
62,Montricher,1147,Montricher,23.0
63,Essertines-sur-Yverdon,1417,Essertines-sur-Yverdon,9.0
65,Vuarrens,1418,Vuarrens,11.0
66,Agiez,1352,Agiez,13.0
67,Valeyres-sous-Rances,1358,Valeyres-sous-Rances,7.0
68,Villars-sous-Yens,1168,Villars-sous-Yens,6.0
69,Ogens,1045,Ogens,11.0
73,Savigny,1073,Savigny,42.0
74,Berolle,1149,Bière,6.0
75,Lavigny,1175,Lavigny,4.0
76,Montpreveyres,1081,Montpreveyres,10.0
77,Pailly,1416,Pailly,13.0
78,Ursins,1412,Ursins,7.0
79,Montcherand,1354,Montcherand,7.0
81,Sergey,1355,Sergey,3.0
82,Rances,1439,Rances,4.0
84,Aubonne,1170,Aubonne,23.0
85,Vaulion,1325,Vaulion,11.0
86,Forel (Lavaux),1072,Forel (Lavaux),29.0
87,Buchillon,1164,Buchillon,3.0
88,Féchy,1173,Féchy,2.0
90,Chexbres,1071,Chexbres,26.0
91,Rueyres,1046,Rueyres,1.0
92,Suscévaz,1437,Suscévaz,1.0
93,Gossens,1407,Donneloye,3.0
94,Moudon,1510,Moudon,11.0
95,Vucherens,1509,Vucherens,2.0
96,Champvent,1443,Champvent,9.0
97,Les Cullayes,1080,Forel (Lavaux),11.0
98,Perroy,1166,Féchy,10.0
100,Chanéaz,1409,Montanaire,3.0
101,Neyruz-sur-Moudon,1515,Montanaire,7.0
102,Essertes,1078,Oron,4.0
104,Puidoux,1070,Puidoux,12.0
105,Montherod,1174,Aubonne,2.0
106,Mont-sur-Rolle,1185,Essertines-sur-Rolle,12.0
107,Cuarny,1404,Cuarny,3.0
108,Bougy-Villars,1172,Bougy-Villars,2.0
109,Servion,1077,Servion,19.0
110,Mézières VD,1083,Jorat-Mézières,12.0
111,Les Tavernes,1607,Oron,15.0
112,St-Livres,1176,Saint-Livres,2.0
113,Le Séchey,1345,Le Lieu,2.0
114,Cronay,1406,Cronay,8.0
115,Châtillens,1610,Oron,11.0
116,Bussy-sur-Moudon,1514,Bussy-sur-Moudon,4.0
118,Baulmes,1446,Baulmes,8.0
119,Corseaux,1802,Corseaux,10.0
120,Chardonne,1803,Chardonne,3.0
122,Jongny,1805,Corsier-sur-Vevey,11.0
123,Corsier-sur-Vevey,1804,Jongny,19.0
124,Bursins,1183,Gilly,4.0
125,Gilly,1182,Gilly,20.0
126,Orges,1430,Orges,7.0
127,Bursinel,1195,Gilly,3.0
128,Oulens-sur-Lucens,1522,Lucens,13.0
130,Ferlens VD,1076,Jorat-Mézières,6.0
131,Forel-sur-Lucens,1526,Lucens,1.0
132,Saubraz,1189,Saubraz,10.0
133,Carrouge VD,1084,Vulliens,7.0
135,Yvonand,1462,Yvonand,21.0
136,Vinzel,1184,Vinzel,6.0
139,La Conversion,1093,Lutry,15.0
140,Essertines-sur-Rolle,1186,Essertines-sur-Rolle,1.0
141,Ecoteaux,1612,Oron,6.0
142,Champagne,1424,Champagne,6.0
143,Les Bioux,1346,L'Abbaye,3.0
144,Le Mont-Pèlerin,1801,Chardonne,8.0
146,Burtigny,1268,Bursins,4.0
148,Bonvillars,1427,Bonvillars,8.0
150,Fiez,1420,Fiez,8.0
152,Prahins,1408,Donneloye,1.0
153,Chailly-Montreux,1816,Montreux,4.0
154,La Tour-de-Peilz,1814,La Tour-de-Peilz,63.0
155,Lovatens,1682,Lovatens,6.0
156,Vich,1267,Vich,10.0
157,Maracon,1613,Maracon,16.0
158,Fontaines-sur-Grandson,1421,Fontaines-sur-Grandson,2.0
159,Molondin,1415,Molondin,6.0
160,Clarens,1815,Montreux,13.0
161,Blonay,1807,Montreux,31.0
162,Brent,1817,Montreux,7.0
163,Gimel,1188,Gimel,22.0
164,L'Orient,1341,Le Chenit,4.0
165,Le Solliat,1347,Le Chenit,13.0
166,Le Brassus,1348,Le Chenit,8.0
167,Villars-Burquin,1423,Tévenon,17.0
171,La Sagne (Ste-Croix),1450,Sainte-Croix,22.0
172,Chernex,1822,Montreux,10.0
173,Prangins,1197,Prangins,20.0
174,Montreux,1820,Montreux,8.0
175,Chêne-Pâquier,1464,Chêne-Pâquier,3.0
176,Genolier,1272,Genolier,9.0
177,Longirod,1261,Longirod,17.0
180,Trélex,1270,Trélex,6.0
181,Glion,1823,Montreux,2.0
182,Chamby,1832,Montreux,6.0
183,Givrins,1271,Givrins,3.0
184,Mutrux,1428,Mutrux,8.0
185,Eysins,1262,Eysins,2.0
188,St-Légier-La Chiésaz,1806,Blonay - Saint-Légier,13.0
189,Bassins,1269,Bassins,2.0
191,Les Rasses,1452,Sainte-Croix,4.0
192,Crassier,1263,Crassier,11.0
193,Mauborget,1453,Grandevent,1.0
194,Crans VD,1299,Crans (VD),10.0
196,Rennaz,1847,Rennaz,12.0
197,Roche VD,1852,Roche (VD),4.0
198,Chavannes-de-Bogis,1279,Chavannes-de-Bogis,3.0
199,Payerne,1530,Payerne,10.0
200,Noville,1845,Noville,7.0
201,Founex,1297,Founex,9.0
202,Chessel,1846,Chessel,2.0
203,Coppet,1296,Coppet,18.0
205,Commugny,1291,Commugny,2.0
206,Tannay,1295,Tannay,2.0
207,Chavannes-des-Bois,1290,Chavannes-des-Bois,10.0
210,La Rippe,1278,La Rippe,17.0
212,St-Cergue,1264,Saint-Cergue,12.0
215,Chevroux,1545,Chevroux,2.0
216,Aigle,1860,Aigle,11.0
217,La Cure,1265,Saint-Cergue,3.0
218,Arzier-Le Muids,1273,Arzier-Le Muids,20.0
220,Villeneuve VD,1844,Villeneuve (VD),6.0
221,St-Triphon,1867,Ollon,13.0
224,Salavaux,1585,Vully-les-Lacs,7.0
225,Constantine,1587,Vully-les-Lacs,1.0
226,Bex,1880,Bex,11.0
227,Chabrey,1589,Vully-les-Lacs,4.0
230,Lavey-les-Bains,1892,Lavey-Morcles,1.0
232,Chesières,1885,Ollon,6.0
233,Cudrefin,1588,Cudrefin,8.0
237,Gryon,1882,Gryon,6.0
238,Corbeyrier,1856,Ormont-Dessous,2.0
