index,Commune,NPA,Commune d'annonce / District,full_demand_fri,distance_to_venoge_km
0,Penthaz,1303,Penthaz,100.0,0.74
0,Penthaz,1303,Penthaz,100.0,0.74
0,Penthaz,1303,Penthaz,51.0,0.74
1,Penthalaz,1305,Penthalaz,100.0,2.72
1,Penthalaz,1305,Penthalaz,100.0,2.72
2,Bournens,1035,Bournens,17.0,3.51
3,Daillens,1306,Daillens,46.0,3.98
4,Sullens,1036,Sullens,40.0,4.12
5,Mex VD,1031,Mex (VD),17.0,4.32
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,100.0,4.72
6,Cossonay-Ville,1304,Cossonay,97.0,4.72
7,Lussery-Villars,1307,Lussery-Villars,28.0,4.85
8,Gollion,1124,Gollion,31.0,5.04
9,Boussens,1034,Boussens,25.0,5.08
10,Aclens,1123,Aclens,13.0,6.28
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,100.0,7.81
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,100.0,7.81
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,100.0,7.81
11,Cheseaux-sur-Lausanne,1033,Cheseaux-sur-Lausanne,84.0,7.81
12,Bremblens,1121,Bremblens,3.0,8.46
13,Oulens-sous-Echallens,1377,Oulens-sous-Echallens,25.0,8.48
14,Crissier,1023,Crissier,100.0,8.59
14,Crissier,1023,Crissier,11.0,8.59
15,La Chaux (Cossonay),1308,La Chaux (Cossonay),2.0,8.88
16,Grancy,1117,Grancy,20.0,9.16
17,Romanel-sur-Lausanne,1032,Lausanne,81.0,9.17
18,Vullierens,1115,Vullierens,4.0,9.23
19,Chevilly,1316,Chevilly,31.0,9.38
20,Echandens,1026,Echandens,40.0,9.7
21,Morrens VD,1054,Morrens (VD),21.0,9.71
22,Eclagnens,1376,Goumoëns,36.0,10.34
23,Ecublens VD,1024,Ecublens (VD),65.0,10.6
24,St-Saphorin-sur-Morges,1113,Echichens,12.0,10.75
25,Colombier VD,1114,Echichens,4.0,10.88
26,Cottens VD,1116,Hautemorges,17.0,11.29
27,Cugy VD,1053,Cugy (VD),64.0,11.3
28,Chavannes-près-Renens,1022,Chavannes-près-Renens,50.0,11.43
29,Ferreyres,1313,Ferreyres,13.0,12.65
31,Clarmont,1127,Clarmont,4.0,13.14
32,Monnaz,1125,Echichens,8.0,13.26
33,Lausanne,1007,Lausanne,88.0,13.51
34,Lausanne,1018,Lausanne,74.0,13.64
35,Poliez-le-Grand,1041,Montilliez,74.0,13.9
36,St-Sulpice VD,1025,Saint-Sulpice (VD),39.0,14.13
37,Le Mont-sur-Lausanne,1052,Le Mont-sur-Lausanne,74.0,14.3
38,Lausanne,1004,Lausanne,100.0,14.6
38,Lausanne,1004,Lausanne,89.0,14.6
39,Lausanne,1003,Lausanne,32.0,15.24
40,Apples,1143,Hautemorges,83.0,15.63
41,Froideville,1055,Froideville,35.0,15.75
42,Lausanne,1006,Lausanne,58.0,16.16
43,Lausanne,1010,Lausanne,46.0,16.2
44,Lausanne,1012,Lausanne,54.0,16.59
45,Epalinges,1066,Epalinges,52.0,16.67
46,Lausanne,1005,Lausanne,69.0,17.01
47,Echichens,1112,Echichens,13.0,17.17
48,Tolochenaz,1131,Tolochenaz,12.0,17.27
49,Villars-Ste-Croix,1029,Villars-Sainte-Croix,26.0,17.3
50,Corcelles-sur-Chavornay,1374,Chavornay,2.0,17.33
51,Essert-Pittet,1435,Chavornay,6.0,17.61
52,Lully VD,1132,Lully (VD),9.0,17.89
53,Les Monts-de-Pully,1068,Pully,2.0,17.96
54,Peyres-Possens,1063,Montanaire,12.0,19.11
55,Lussy-sur-Morges,1167,Lussy-sur-Morges,18.0,19.46
56,Villars-Tiercelin,1058,Jorat-Menthue,8.0,19.53
58,Denens,1135,Denens,3.0,19.82
59,Mollens VD,1146,Mollens (VD),2.0,20.11
60,La Croix (Lutry),1090,Lutry,9.0,20.14
61,Corcelles-le-Jorat,1082,Corcelles-le-Jorat,3.0,20.15
62,Montricher,1147,Montricher,10.0,20.65
63,Essertines-sur-Yverdon,1417,Essertines-sur-Yverdon,6.0,20.98
64,Peney-le-Jorat,1059,Jorat-Menthue,6.0,21.03
65,Vuarrens,1418,Vuarrens,23.0,21.27
66,Agiez,1352,Agiez,2.0,21.45
67,Valeyres-sous-Rances,1358,Valeyres-sous-Rances,7.0,21.77
68,Villars-sous-Yens,1168,Villars-sous-Yens,2.0,22.24
70,Hermenches,1513,Hermenches,4.0,22.53
72,Ropraz,1088,Ropraz,3.0,22.89
73,Savigny,1073,Savigny,25.0,23.12
75,Lavigny,1175,Lavigny,11.0,23.76
76,Montpreveyres,1081,Montpreveyres,2.0,23.78
77,Pailly,1416,Pailly,17.0,23.93
78,Ursins,1412,Ursins,1.0,24.22
79,Montcherand,1354,Montcherand,8.0,24.57
80,Mathod,1438,Mathod,3.0,24.82
81,Sergey,1355,Sergey,4.0,24.83
82,Rances,1439,Rances,6.0,25.11
83,Orzens,1413,Orzens,3.0,25.18
84,Aubonne,1170,Aubonne,16.0,25.22
85,Vaulion,1325,Vaulion,6.0,25.22
86,Forel (Lavaux),1072,Forel (Lavaux),13.0,25.82
87,Buchillon,1164,Buchillon,6.0,26.28
88,Féchy,1173,Féchy,3.0,26.33
90,Chexbres,1071,Chexbres,15.0,26.4
91,Rueyres,1046,Rueyres,9.0,26.51
93,Gossens,1407,Donneloye,3.0,26.73
94,Moudon,1510,Moudon,22.0,26.87
95,Vucherens,1509,Vucherens,3.0,27.24
96,Champvent,1443,Champvent,2.0,27.27
97,Les Cullayes,1080,Forel (Lavaux),6.0,27.56
98,Perroy,1166,Féchy,4.0,27.66
99,Le Pont,1342,L'Abbaye,2.0,28.04
100,Chanéaz,1409,Montanaire,1.0,28.15
103,L'Abbaye,1344,L'Abbaye,2.0,29.45
104,Puidoux,1070,Puidoux,18.0,29.6
106,Mont-sur-Rolle,1185,Essertines-sur-Rolle,6.0,29.77
107,Cuarny,1404,Cuarny,4.0,29.87
109,Servion,1077,Servion,4.0,30.17
110,Mézières VD,1083,Jorat-Mézières,1.0,30.2
111,Les Tavernes,1607,Oron,4.0,30.22
112,St-Livres,1176,Saint-Livres,4.0,30.27
113,Le Séchey,1345,Le Lieu,2.0,30.45
114,Cronay,1406,Cronay,12.0,30.57
115,Châtillens,1610,Oron,11.0,30.79
116,Bussy-sur-Moudon,1514,Bussy-sur-Moudon,4.0,30.86
118,Baulmes,1446,Baulmes,3.0,30.92
119,Corseaux,1802,Corseaux,7.0,30.96
120,Chardonne,1803,Chardonne,10.0,31.29
122,Jongny,1805,Corsier-sur-Vevey,22.0,31.96
123,Corsier-sur-Vevey,1804,Jongny,7.0,32.04
124,Bursins,1183,Gilly,2.0,32.33
125,Gilly,1182,Gilly,9.0,32.34
126,Orges,1430,Orges,4.0,32.47
127,Bursinel,1195,Gilly,7.0,32.67
128,Oulens-sur-Lucens,1522,Lucens,12.0,32.67
129,Chesalles-sur-Moudon,1683,Lucens,2.0,32.84
131,Forel-sur-Lucens,1526,Lucens,6.0,32.95
132,Saubraz,1189,Saubraz,1.0,33.33
133,Carrouge VD,1084,Vulliens,2.0,33.34
134,Combremont-le-Petit,1536,Valbroye,3.0,33.49
135,Yvonand,1462,Yvonand,21.0,33.65
136,Vinzel,1184,Vinzel,3.0,33.76
139,La Conversion,1093,Lutry,8.0,33.94
142,Champagne,1424,Champagne,18.0,34.42
143,Les Bioux,1346,L'Abbaye,2.0,34.44
145,Vugelles-La Mothe,1431,Vugelles-La Mothe,4.0,34.6
146,Burtigny,1268,Bursins,9.0,35.06
147,St-Oyens,1187,Saint-Oyens,3.0,35.53
148,Bonvillars,1427,Bonvillars,6.0,35.71
149,Onnens VD,1425,Onnens (VD),3.0,35.72
150,Fiez,1420,Fiez,7.0,35.81
153,Chailly-Montreux,1816,Montreux,1.0,36.78
154,La Tour-de-Peilz,1814,La Tour-de-Peilz,27.0,37.0
155,Lovatens,1682,Lovatens,8.0,37.09
156,Vich,1267,Vich,3.0,37.17
157,Maracon,1613,Maracon,9.0,37.23
158,Fontaines-sur-Grandson,1421,Fontaines-sur-Grandson,2.0,37.34
159,Molondin,1415,Molondin,10.0,37.35
160,Clarens,1815,Montreux,8.0,37.78
161,Blonay,1807,Montreux,23.0,38.06
162,Brent,1817,Montreux,4.0,38.25
163,Gimel,1188,Gimel,4.0,38.37
165,Le Solliat,1347,Le Chenit,2.0,39.01
166,Le Brassus,1348,Le Chenit,4.0,39.25
167,Villars-Burquin,1423,Tévenon,1.0,39.27
168,L'Auberson,1454,Sainte-Croix,4.0,39.37
169,Rovray,1463,Rovray,1.0,39.4
170,Duillier,1266,Duillier,2.0,39.71
171,La Sagne (Ste-Croix),1450,Sainte-Croix,31.0,39.85
172,Chernex,1822,Montreux,12.0,39.88
173,Prangins,1197,Prangins,13.0,40.06
174,Montreux,1820,Montreux,7.0,40.07
175,Chêne-Pâquier,1464,Chêne-Pâquier,2.0,40.54
176,Genolier,1272,Genolier,8.0,40.57
177,Longirod,1261,Longirod,10.0,40.81
178,Champtauroz,1537,Champtauroz,8.0,41.84
179,Signy,1274,Signy-Avenex,4.0,42.11
180,Trélex,1270,Trélex,4.0,42.19
183,Givrins,1271,Givrins,7.0,42.91
184,Mutrux,1428,Mutrux,4.0,43.15
185,Eysins,1262,Eysins,8.0,44.13
186,Borex,1277,Borex,3.0,44.66
188,St-Légier-La Chiésaz,1806,Blonay - Saint-Légier,21.0,45.42
189,Bassins,1269,Bassins,9.0,45.45
190,Gingins,1276,Saint-Cergue,4.0,45.6
192,Crassier,1263,Crassier,1.0,46.19
195,Chéserex,1275,Chéserex,1.0,47.35
197,Roche VD,1852,Roche (VD),7.0,49.01
198,Chavannes-de-Bogis,1279,Chavannes-de-Bogis,7.0,49.44
199,Payerne,1530,Payerne,20.0,49.52
203,Coppet,1296,Coppet,2.0,51.69
204,Granges-près-Marnand,1523,Valbroye,7.0,51.94
205,Commugny,1291,Commugny,10.0,52.22
206,Tannay,1295,Tannay,2.0,52.24
207,Chavannes-des-Bois,1290,Chavannes-des-Bois,11.0,53.04
210,La Rippe,1278,La Rippe,4.0,54.09
211,Grandcour,1543,Grandcour,8.0,54.1
212,St-Cergue,1264,Saint-Cergue,4.0,55.07
215,Chevroux,1545,Chevroux,2.0,56.73
216,Aigle,1860,Aigle,4.0,56.8
217,La Cure,1265,Saint-Cergue,2.0,58.72
218,Arzier-Le Muids,1273,Arzier-Le Muids,2.0,59.36
220,Villeneuve VD,1844,Villeneuve (VD),12.0,59.8
221,St-Triphon,1867,Ollon,9.0,59.8
223,Villars-le-Grand,1584,Vully-les-Lacs,2.0,62.51
224,Salavaux,1585,Vully-les-Lacs,6.0,62.83
226,Bex,1880,Bex,12.0,64.72
227,Chabrey,1589,Vully-les-Lacs,6.0,66.19
228,Huémoz,1884,Ollon,2.0,67.26
229,Vallamand,1586,Vully-les-Lacs,2.0,68.21
230,Lavey-les-Bains,1892,Lavey-Morcles,2.0,68.54
233,Cudrefin,1588,Cudrefin,26.0,69.89
